pre,,post,,unmined control,,mined control,,10,,5,,0,
0,495.4408569,0,496.8182068,0,494.9317265,0,497.1198257,0,497.2471442,0,496.1069317,0,495.3026886
13.02573712,488.587616,13.02573712,494.6131592,13.02573712,488.0368223,13.02573712,493.3585728,13.02573712,493.3540761,13.02573712,492.0827456,13.02573712,490.5540969
26.05147423,480.3276062,26.05147423,487.3253479,26.05147423,479.8194417,26.05147423,486.5777748,26.05147423,486.5795903,26.05147423,483.7154833,26.05147423,480.0610112
39.07721135,470.8081665,39.07721135,478.2831421,39.07721135,470.5431776,39.07721135,478.0465705,39.07721135,478.6227844,39.07721135,476.319192,39.07721135,469.2787414
52.10294846,467.8919678,52.10294846,478.6849976,52.10294846,467.6703722,52.10294846,478.4617028,52.10294846,478.502878,52.10294846,475.0580267,52.10294846,471.9727063
65.12868558,458.4247742,65.12868558,474.2375488,65.12868558,458.3644154,65.12868558,473.2584299,65.12868558,473.1216041,65.12868558,462.9284637,65.12868558,460.2078487
78.15442269,450.3798828,78.15442269,472.309021,78.15442269,450.3655515,78.15442269,471.4426091,78.15442269,471.3113992,78.15442269,464.0872056,78.15442269,459.0094712
91.18015981,443.6986389,91.18015981,472.4358215,91.18015981,443.5024096,91.18015981,471.9776483,91.18015981,471.9385737,91.18015981,466.957982,91.18015981,461.6452343
104.2058969,437.826416,104.2058969,472.3269653,104.2058969,437.4196419,104.2058969,471.6658442,104.2058969,471.6213105,104.2058969,468.342254,104.2058969,465.0348686
117.231634,435.3624573,117.231634,473.0788269,117.231634,434.9136268,117.231634,472.8115893,117.231634,472.7333696,117.231634,464.4155977,117.231634,457.4331676
130.2573712,427.8722229,130.2573712,473.0284729,130.2573712,427.2832719,130.2573712,472.514339,130.2573712,472.4850653,130.2573712,470.3905726,130.2573712,467.8303268
143.2831083,418.9579468,143.2831083,472.4009094,143.2831083,418.4914083,143.2831083,471.3788331,143.2831083,471.3466605,143.2831083,468.6326406,143.2831083,465.0864865
156.3088454,407.2718811,156.3088454,472.7852478,156.3088454,405.9766739,156.3088454,471.8671073,156.3088454,471.827217,156.3088454,467.1711376,156.3088454,461.3303404
169.3345825,407.0140381,169.3345825,473.769043,169.3345825,404.3665198,169.3345825,473.5628584,169.3345825,473.5071662,169.3345825,463.1245938,169.3345825,454.6188687
182.3603196,403.326416,182.3603196,473.6661072,182.3603196,403.0714397,182.3603196,472.037802,182.3603196,471.8237323,182.3603196,451.7537277,182.3603196,433.7188483
195.3860567,401.5072632,195.3860567,473.9101563,195.3860567,401.4781699,195.3860567,472.2856289,195.3860567,472.0893572,195.3860567,453.6889023,195.3860567,434.6540501
209.9234522,402.6474915,209.9234522,474.6913757,209.9234522,400.0174184,209.9234522,474.1276911,209.9234522,474.069083,209.9234522,463.636088,209.9234522,443.5101052
224.4608477,405.3045959,224.4608477,473.8722229,224.4608477,405.2239326,224.4608477,473.0771987,224.4608477,473.0416432,224.4608477,469.2275833,224.4608477,461.1068399
238.9982432,415.5316162,238.9982432,475.5260925,238.9982432,414.9798464,238.9982432,475.1664495,238.9982432,475.1121021,238.9982432,469.929214,238.9982432,463.2987278
253.5356387,430.805603,253.5356387,476.3681335,253.5356387,429.8657251,253.5356387,476.2308512,253.5356387,476.1904919,253.5356387,471.2256039,253.5356387,465.6656691
268.0730342,438.0489502,268.0730342,478.2077332,268.0730342,437.3107926,268.0730342,478.3624128,268.0730342,478.3204677,268.0730342,474.007778,268.0730342,469.12048
279.3570876,442.0108337,279.3570876,477.1072388,279.3570876,441.3800263,279.3570876,477.2015046,279.3570876,477.1782943,279.3570876,473.9524649,279.3570876,470.5095823
290.6411409,447.9044189,290.6411409,478.7350464,290.6411409,447.393194,290.6411409,478.9461771,290.6411409,478.8986152,290.6411409,472.8847928,290.6411409,466.4676476
301.9251943,451.0853882,301.9251943,477.5837708,301.9251943,450.6823093,301.9251943,478.007883,301.9251943,477.9792378,301.9251943,475.3823161,301.9251943,471.7070047
313.2092477,454.0381775,313.2092477,477.4119263,313.2092477,453.7523053,313.2092477,476.8779936,313.2092477,476.826972,313.2092477,470.638725,313.2092477,464.3213243
324.493301,457.0257568,324.493301,477.0090942,324.493301,456.8144069,324.493301,476.1046915,324.493301,476.061473,324.493301,472.4915736,324.493301,468.4317498
