pre,,post,,unmined control,,mined control,,10,,5,,0,
0,491.8701782,0,497.2950134,0,491.5486075,0,496.8387734,0,496.8319137,0,496.7618634,0,496.7398745
10.15894023,496.4856873,10.15894023,499.6903381,10.15894023,495.9556356,10.15894023,499.5755136,10.15894023,499.5666454,10.15894023,499.4418018,10.15894023,499.3999839
20.31788047,500.2833862,20.31788047,502.0700073,20.31788047,499.7233954,20.31788047,501.8154626,20.31788047,501.8029444,20.31788047,501.5737312,20.31788047,501.491709
30.4768207,503.1303711,30.4768207,504.0862427,30.4768207,502.4658948,30.4768207,503.8052759,30.4768207,503.7914939,30.4768207,503.4830521,30.4768207,503.3650356
40.63576093,504.9302673,40.63576093,506.4278259,40.63576093,504.2046223,40.63576093,505.6139494,40.63576093,505.5981034,40.63576093,505.1765348,40.63576093,505.0047016
50.79470117,505.8265381,50.79470117,507.621582,50.79470117,505.1056175,50.79470117,506.7972067,50.79470117,506.7810562,50.79470117,506.3004349,50.79470117,506.0920284
60.9536414,506.0985107,60.9536414,508.5583191,60.9536414,505.4232307,60.9536414,507.4716166,60.9536414,507.4494459,60.9536414,506.8039951,60.9536414,506.511152
71.11258164,506.0636292,71.11258164,508.0893555,71.11258164,505.4021886,71.11258164,506.6188908,71.11258164,506.544607,71.11258164,504.465329,71.11258164,503.5486246
81.27152187,505.9216309,81.27152187,507.4472351,81.27152187,505.1889983,81.27152187,500.4859432,81.27152187,500.1804611,81.27152187,491.1002809,81.27152187,488.2890875
91.4304621,505.7344971,91.4304621,506.0073242,91.4304621,504.9115104,91.4304621,504.7796673,91.4304621,504.7006903,91.4304621,502.5138051,91.4304621,501.499704
101.5894023,496.9953003,101.5894023,497.8930359,101.5894023,496.0162347,101.5894023,497.5020588,101.5894023,497.480481,101.5894023,496.9316192,101.5894023,496.6968911
111.7483426,496.9260864,111.7483426,497.1138611,111.7483426,495.9190602,111.7483426,496.6179213,111.7483426,496.5984724,111.7483426,496.0405472,111.7483426,495.8063251
121.9072828,496.9462891,121.9072828,495.7729187,121.9072828,495.9818801,121.9072828,495.7141621,121.9072828,495.6948233,121.9072828,495.1644301,121.9072828,494.9452345
132.066223,497.1455078,132.066223,495.7939453,132.066223,496.1467819,132.066223,495.1796397,132.066223,495.146775,132.066223,494.2329302,132.066223,493.8744776
142.2251633,497.6278992,142.2251633,496.3607178,142.2251633,496.7392782,142.2251633,495.7604352,142.2251633,495.7398609,142.2251633,495.2186464,142.2251633,495.0080542
152.3841035,498.467926,152.3841035,496.558197,152.3841035,497.6339228,152.3841035,496.3068617,152.3841035,496.2867462,152.3841035,495.8063218,152.3841035,495.6195966
162.5430437,499.6471252,162.5430437,497.6737366,162.5430437,498.7276268,162.5430437,496.8231628,162.5430437,496.7938857,162.5430437,496.1221756,162.5430437,495.8719298
172.701984,501.0256653,172.701984,497.6652222,172.701984,500.1134839,172.701984,497.48717,172.701984,497.4664705,172.701984,497.0220252,172.701984,496.8545139
182.8609242,502.103302,182.8609242,498.6438293,182.8609242,501.1824325,182.8609242,498.1848114,182.8609242,498.1670969,182.8609242,497.8105206,182.8609242,497.6796841
193.0198644,502.6656494,193.0198644,499.1809692,193.0198644,501.884448,193.0198644,498.6879111,193.0198644,498.6723955,193.0198644,498.3897254,193.0198644,498.2889527
203.1788047,502.5029907,203.1788047,499.5681152,203.1788047,501.802859,203.1788047,498.9459034,203.1788047,498.9294033,203.1788047,498.6594018,203.1788047,498.5665097
213.3377449,501.4154358,213.3377449,499.2185059,213.3377449,500.8833323,213.3377449,498.6948374,213.3377449,498.6809249,213.3377449,498.4852183,213.3377449,498.4201232
