pre,,post,,unmined control,,mined control,,10,,5,,0,
0,556.6412964,0,552.9278564,0,555.5540523,0,551.6342597,0,551.6275444,0,551.4598415,0,551.3920386
10.4039381,551.7426758,10.4039381,549.8143921,10.4039381,551.2236882,10.4039381,549.1887631,10.4039381,549.1844064,10.4039381,549.0754273,10.4039381,549.0308866
20.80787619,546.9638672,20.80787619,547.7846069,20.80787619,546.6310982,20.80787619,546.9661839,20.80787619,546.9624991,20.80787619,546.8687141,20.80787619,546.8296124
31.21181429,542.3410645,31.21181429,546.1688232,31.21181429,542.0955794,31.21181429,544.733267,31.21181429,544.7290405,31.21181429,544.6215616,31.21181429,544.5765407
41.61575238,539.5708618,41.61575238,541.6125488,41.61575238,539.1494017,41.61575238,540.7533968,41.61575238,540.7466091,41.61575238,540.5128432,41.61575238,540.3971833
52.01969048,535.1549683,52.01969048,536.4735718,52.01969048,534.5228513,52.01969048,535.683063,52.01969048,535.6731704,52.01969048,535.3141249,52.01969048,535.1368251
62.42362857,530.1398926,62.42362857,530.4232178,62.42362857,529.600298,62.42362857,529.7244433,62.42362857,529.711488,62.42362857,529.2140146,62.42362857,528.9626836
72.82756667,524.9584351,72.82756667,523.7202759,72.82756667,524.520787,72.82756667,523.1997398,72.82756667,523.1847766,72.82756667,522.5798905,72.82756667,522.265309
83.23150476,519.9729004,83.23150476,516.6655273,83.23150476,519.4380533,83.23150476,516.4614916,83.23150476,516.4444406,83.23150476,515.7156423,83.23150476,515.3070468
93.63544286,506.7865601,93.63544286,502.9609375,93.63544286,506.1352621,93.63544286,503.6557605,93.63544286,503.5688412,93.63544286,499.7968929,93.63544286,497.0297787
104.039381,500.0065002,104.039381,500.8861694,104.039381,499.6127388,104.039381,500.7671651,104.039381,500.699818,104.039381,495.6310831,104.039381,492.5466882
114.443319,492.9795227,114.443319,500.7769775,114.443319,492.6748517,114.443319,500.3888779,114.443319,500.3419912,114.443319,497.2358838,114.443319,494.9354109
124.8472571,485.9788818,124.8472571,500.4971313,124.8472571,485.759173,124.8472571,499.8811537,124.8472571,499.8378382,124.8472571,496.923981,124.8472571,494.8021733
135.2511952,479.0056152,135.2511952,499.9563904,135.2511952,478.8965592,135.2511952,499.4285119,135.2511952,499.3935424,135.2511952,497.0554412,135.2511952,495.3441197
145.6551333,469.8513184,145.6551333,503.5486145,145.6551333,469.5934812,145.6551333,503.2834549,145.6551333,503.2567575,145.6551333,501.5608061,145.6551333,500.0729282
156.0590714,463.6939697,156.0590714,502.2785645,156.0590714,463.2893247,156.0590714,502.0965019,156.0590714,502.0520479,156.0590714,498.6381412,156.0590714,496.0459861
166.4630095,457.4812012,166.4630095,501.614502,166.4630095,457.1896663,166.4630095,501.3532523,166.4630095,501.3062339,166.4630095,497.7195109,166.4630095,494.8725036
176.8669476,451.0863342,176.8669476,500.9692993,176.8669476,450.8962828,176.8669476,500.8045174,176.8669476,500.7649436,176.8669476,497.6115096,176.8669476,494.8772558
187.2708857,444.692627,187.2708857,500.304718,187.2708857,444.7413341,187.2708857,500.3744336,187.2708857,500.347228,187.2708857,498.2487188,187.2708857,495.9047076
197.6748238,437.3244629,197.6748238,504.37854,197.6748238,437.6203781,197.6748238,503.8803736,197.6748238,503.8372253,197.6748238,499.9581141,197.6748238,496.1839855
208.0787619,433.9162903,208.0787619,503.2598267,208.0787619,433.7706535,208.0787619,502.8821297,208.0787619,502.8338026,208.0787619,498.5556884,208.0787619,494.2089585
218.4827,431.7073059,218.4827,502.2445679,218.4827,430.4105628,218.4827,501.9143181,218.4827,501.8647115,218.4827,497.16018,218.4827,492.2986896
228.8866381,431.0334778,228.8866381,501.3099976,228.8866381,430.8881197,228.8866381,501.1953716,228.8866381,501.1669614,228.8866381,498.4902295,228.8866381,495.1790329
239.2905762,432.3057556,239.2905762,500.3203125,239.2905762,432.2923081,239.2905762,500.1013514,239.2905762,500.0579662,239.2905762,495.5076272,239.2905762,490.513623
249.6945143,439.502655,249.6945143,503.7884216,249.6945143,439.2414347,249.6945143,503.3285826,249.6945143,503.283,249.6945143,498.9979319,249.6945143,494.6159802
260.0984524,442.9411621,260.0984524,502.6951599,260.0984524,442.5723027,260.0984524,502.3281637,260.0984524,502.2965924,260.0984524,498.2700178,260.0984524,493.9309344
270.5023905,446.8538513,270.5023905,501.4492188,270.5023905,446.3958278,270.5023905,501.2021566,270.5023905,501.2545566,270.5023905,497.3389076,270.5023905,492.6579048
280.9063286,450.9787598,280.9063286,500.1763306,280.9063286,450.4625582,280.9063286,499.9257796,280.9063286,499.8507665,280.9063286,491.0219449,280.9063286,481.8640006
291.3102667,459.1896973,291.3102667,503.8136597,291.3102667,458.6873664,291.3102667,501.1671854,291.3102667,500.8725254,291.3102667,471.9026466,291.3102667,450.4409506
301.7142048,463.2283936,301.7142048,502.4028625,301.7142048,462.7149073,301.7142048,501.5400776,301.7142048,501.5866108,301.7142048,488.4325562,301.7142048,469.5698452
312.1181429,467.1950073,312.1181429,501.0079651,312.1181429,466.6647931,312.1181429,500.6514422,312.1181429,500.6193901,312.1181429,495.2101616,312.1181429,484.8091195
322.5220809,471.0591125,322.5220809,499.4525757,322.5220809,470.5180474,322.5220809,499.4456285,322.5220809,499.4205112,322.5220809,497.0782504,322.5220809,494.0904791
332.926019,474.8037109,332.926019,497.817749,332.926019,474.2646849,332.926019,497.6491915,332.926019,497.6259981,332.926019,492.8643519,332.926019,488.8065021
343.3299571,481.5749512,343.3299571,501.5232849,343.3299571,481.2391882,343.3299571,501.1504713,343.3299571,501.1161661,343.3299571,498.3343428,343.3299571,495.698636
353.7338952,485.1602783,353.7338952,500.1437683,353.7338952,484.9190183,353.7338952,499.7098044,353.7338952,499.6500489,353.7338952,495.1653556,353.7338952,491.0721766
364.1378333,488.9685669,364.1378333,499.5049438,364.1378333,488.8125526,364.1378333,497.9401428,364.1378333,497.7897656,364.1378333,488.9851134,364.1378333,483.4925252
374.5417714,493.0975952,374.5417714,499.1659241,374.5417714,492.9602223,374.5417714,498.2373473,374.5417714,498.1531911,374.5417714,492.6947155,374.5417714,488.1887915
384.9457095,497.4622192,384.9457095,498.6265259,384.9457095,497.4013876,384.9457095,499.0002053,384.9457095,498.9515222,384.9457095,495.8590958,384.9457095,493.2961422
395.3496476,507.0503235,395.3496476,506.2561035,395.3496476,506.8951723,395.3496476,506.7893893,395.3496476,506.7589406,395.3496476,504.74545,395.3496476,503.1436122
405.7535857,513.0709229,405.7535857,511.6878967,405.7535857,512.7614578,405.7535857,511.5373358,405.7535857,511.5016883,405.7535857,508.9189659,405.7535857,507.1108553
416.1575238,519.5076294,416.1575238,517.2945557,416.1575238,518.9969442,416.1575238,516.8835366,416.1575238,516.8500144,416.1575238,514.7059458,416.1575238,513.2105122
426.5614619,525.9456787,426.5614619,522.7053833,426.5614619,525.2144478,426.5614619,521.6611721,426.5614619,521.6196914,426.5614619,518.5528257,426.5614619,516.4222152
436.9654,531.9802246,436.9654,526.6228027,436.9654,530.9588391,436.9654,526.3533348,436.9654,526.3235289,436.9654,524.4239601,436.9654,522.9472462
447.3693381,539.050415,447.3693381,533.9904785,447.3693381,538.39774,447.3693381,533.9675843,447.3693381,533.9377103,447.3693381,531.9223631,447.3693381,530.1998483
457.7732762,541.8977051,457.7732762,539.5633545,457.7732762,541.5468176,457.7732762,537.8786814,457.7732762,537.8481926,457.7732762,535.2635405,457.7732762,533.1846553
468.1772143,544.3881226,468.1772143,540.1341553,468.1772143,544.3403326,468.1772143,540.3275434,468.1772143,540.3117747,468.1772143,539.1523545,468.1772143,538.0144418
