pre,,post,,unmined control,,mined control,,10,,5,,0,
0,621.5623169,0,599.5184937,0,621.0408888,0,599.2711644,0,599.2675906,0,598.9028968,0,598.4138576
13.26021267,618.5688477,13.26021267,598.5714111,13.26021267,618.0496167,13.26021267,597.880762,13.26021267,597.8710379,13.26021267,596.8811685,13.26021267,595.7742602
26.52042535,615.1027222,26.52042535,594.8273315,26.52042535,614.4795386,26.52042535,594.2777958,26.52042535,594.2611455,26.52042535,592.7040911,26.52042535,591.2141916
39.78063802,610.4992676,39.78063802,589.2700806,39.78063802,609.8254875,39.78063802,589.1756329,39.78063802,589.1596606,39.78063802,587.7712443,39.78063802,586.5195374
53.0408507,608.1629028,53.0408507,586.8912964,53.0408507,607.1709588,53.0408507,587.2505045,53.0408507,587.2379139,53.0408507,586.1534206,53.0408507,584.8633678
66.30106337,600.9658813,66.30106337,584.2982788,66.30106337,600.2004746,66.30106337,584.0945309,66.30106337,584.0884199,66.30106337,583.4559321,66.30106337,582.2562516
79.56127605,593.2540283,79.56127605,581.8874512,79.56127605,592.7430814,79.56127605,582.0654035,79.56127605,582.0580489,79.56127605,580.1009587,79.56127605,574.9480504
92.82148872,586.0202026,92.82148872,580.6494751,92.82148872,585.7893076,92.82148872,581.2293398,92.82148872,581.222572,92.82148872,579.9777738,92.82148872,575.3180518
106.0817014,580.1647949,106.0817014,582.6554565,106.0817014,579.9145725,106.0817014,581.4925603,106.0817014,581.4754398,106.0817014,579.9390968,106.0817014,578.1312265
119.3419141,576.949707,119.3419141,582.1384277,119.3419141,576.7629096,119.3419141,578.1325302,119.3419141,578.0975802,119.3419141,575.3369036,119.3419141,572.7853845
132.6021267,572.2747192,132.6021267,562.40979,132.6021267,571.8517208,132.6021267,562.5305928,132.6021267,562.4920214,132.6021267,559.786234,132.6021267,557.727471
145.8623394,563.9817505,145.8623394,546.4221802,145.8623394,563.5684549,145.8623394,547.0112772,145.8623394,547.0063124,145.8623394,546.5809318,145.8623394,546.3029447
159.1225521,557.9938354,159.1225521,547.0413818,159.1225521,557.49439,159.1225521,547.3943708,159.1225521,547.3938813,159.1225521,547.2808593,159.1225521,547.1939941
172.3827648,551.2341919,172.3827648,549.7825928,172.3827648,550.5420154,172.3827648,547.7719584,172.3827648,547.7663497,172.3827648,547.5464984,172.3827648,547.4370738
185.6429774,546.6757813,185.6429774,544.7202148,185.6429774,545.9301172,185.6429774,543.7247119,185.6429774,543.7157486,185.6429774,543.424454,185.6429774,543.2941174
198.9031901,537.3655396,198.9031901,535.5465698,198.9031901,536.814449,198.9031901,535.1192748,198.9031901,535.1094624,198.9031901,534.8928221,198.9031901,534.8107296
212.1634028,527.3378906,212.1634028,526.118042,212.1634028,527.093022,212.1634028,525.8309103,212.1634028,525.8243639,212.1634028,525.738213,212.1634028,525.7097538
225.4236155,518.2872314,225.4236155,516.4178467,225.4236155,518.025467,225.4236155,516.1010443,225.4236155,516.0936563,225.4236155,516.04327,225.4236155,516.028495
238.6838281,510.1940918,238.6838281,505.89151,238.6838281,509.7492064,238.6838281,506.3626152,238.6838281,506.3541972,238.6838281,506.32824,238.6838281,506.3211942
