"","id","max_year","min_year","avg_depth","DA","slope","logDA","shed"
"1",1,2020,1991,6.73,57900,0.417004406452179,4.76267856372744,"bencreek"
"2",2,2021,1990,1.71,2200,0.544097602367401,3.34242268082221,"bencreek"
"3",3,2021,1991,2.38,18300,0.685458362102509,4.26245108973043,"bencreek"
"4",4,2021,2005,2.71,21200,0.461230456829071,4.32633586092875,"bencreek"
"5",5,2021,1990,3.54,9400,0.467614740133286,3.9731278535997,"bencreek"
"6",6,2021,2001,1.31,100,0.756471335887909,2,"bencreek"
"7",7,2021,2006,4.17,4900,0.591091930866241,3.69019608002851,"bencreek"
"8",8,1998,1988,2.04,32800,0.392123401165009,4.51587384371168,"bencreek"
"9",9,1998,1988,3.48,110300,0.210010796785355,5.04257551244019,"bencreek"
"10",10,1990,1988,3.31,3200,0.706770122051239,3.50514997831991,"bencreek"
"11",11,2021,1996,3,23400,0.44780883193016,4.36921585741014,"bencreek"
"12",12,2021,1990,3.8,21500,0.221357136964798,4.3324384599156,"bencreek"
"13",13,2021,1992,4.72,185900,0.348831862211227,5.2692793897719,"bencreek"
"14",14,2010,1993,5.41,114400,0.2403564453125,5.058426024457,"bencreek"
"15",15,2007,1992,2.95,39500,0.573251366615295,4.59659709562646,"bencreek"
"16",16,2018,1985,1.33,300,0.521476149559021,2.47712125471966,"bencreek"
"17",18,2000,1993,2.79,14500,0.431784421205521,4.16136800223498,"bencreek"
"18",19,2021,1989,3.14,500,0.739291369915009,2.69897000433602,"bencreek"
"19",20,2021,2009,3.29,5900,0.424359142780304,3.77085201164214,"bencreek"
"20",21,2021,2009,4,1600,0.207510381937027,3.20411998265592,"bencreek"
"21",22,2021,2009,1.01,4100,0.38060075044632,3.61278385671974,"bencreek"
"22",1,2005,1994,1.9,1300,0.301074981689453,3.11394335230684,"sprucefork"
"23",2,2004,1985,1.93,175800,0.522936999797821,5.24501887073775,"sprucefork"
"24",3,2003,1985,1.46,1000,0.646270751953125,3,"sprucefork"
"25",4,2021,1999,3.36,300,0.65278548002243,2.47712125471966,"sprucefork"
"26",5,2021,1999,1.77,14400,0.479296863079071,4.15836249209525,"sprucefork"
"27",6,2021,1999,1.99,1200,0.718551635742188,3.07918124604762,"sprucefork"
"28",7,2011,1999,1.95,39200,0.356341421604156,4.59328606702046,"sprucefork"
"29",8,2021,1999,3.38,100,0.555123925209045,2,"sprucefork"
"30",9,1994,1993,3.81,48300,0.409027099609375,4.68394713075151,"sprucefork"
"31",13,2021,1986,2.29,7400,0.558926820755005,3.86923171973098,"sprucefork"
"32",14,2021,2007,2.68,1500,0.661816418170929,3.17609125905568,"sprucefork"
"33",15,2021,2004,2.87,500,0.667083740234375,2.69897000433602,"sprucefork"
"34",16,2021,1991,3.15,235500,0.408852219581604,5.37199091146492,"sprucefork"
"35",17,2021,1991,1.93,400,0.561758399009705,2.60205999132796,"sprucefork"
"36",18,2021,1995,2.55,4800,0.696269690990448,3.68124123737559,"sprucefork"
"37",19,2014,1985,2.27,17600,0.56648600101471,4.24551266781415,"sprucefork"
"38",20,2003,1985,2,800,0.404264479875565,2.90308998699194,"sprucefork"
"39",21,2004,1989,1.42,10800,0.408824175596237,4.03342375548695,"sprucefork"
"40",22,2011,1986,2.76,2100,0.500500500202179,3.32221929473392,"sprucefork"
"41",23,1994,1990,9.23,93700,0.52547299861908,4.97173959088778,"sprucefork"
"42",25,2021,1999,1.95,75300,0.412548840045929,4.8767949762007,"sprucefork"
"43",26,2021,1985,1.01,106200,0.311232298612595,5.02612451674545,"sprucefork"
"44",27,2021,1985,1.6,3200,0.290973752737045,3.50514997831991,"sprucefork"
"45",28,2021,1985,2.59,600,0.398807108402252,2.77815125038364,"sprucefork"
"46",29,2021,2009,4.28,900,0.519903004169464,2.95424250943932,"sprucefork"
"47",30,2021,2014,4.472,58000,0.511938452720642,4.76342799356294,"sprucefork"
"48",31,2021,2009,6.61,51700,0.284089982509613,4.71349054309394,"sprucefork"
"49",32,2021,2009,5.45,318500,0.363850980997086,5.50310943667137,"sprucefork"
"50",33,2021,2009,5.48,9400,0.414749801158905,3.9731278535997,"sprucefork"
"51",34,2021,2009,2.82,16100,0.391809076070786,4.20682587603185,"sprucefork"
"52",35,2021,2012,0.68,70600,0.235817342996597,4.8488047010518,"sprucefork"
"53",36,2021,2009,2.49,26400,0.272853702306747,4.42160392686983,"sprucefork"
"54",37,2021,2009,1.64,6200,0.340558409690857,3.79239168949825,"sprucefork"
"55",38,2021,1995,4.39,91900,0.38551864027977,4.96331551138611,"sprucefork"
"56",39,2020,1994,3.05,200,0.249310299754143,2.30102999566398,"sprucefork"
"57",40,2003,1985,3.81,500,0.208819583058357,2.69897000433602,"sprucefork"
"58",41,1993,1986,1.98,200,0.399663805961609,2.30102999566398,"sprucefork"
"59",42,2021,2014,4.35,1100,0.651361286640167,3.04139268515822,"sprucefork"
"60",43,2005,1992,0.48,200,0.709930419921875,2.30102999566398,"sprucefork"
"61",44,2012,1985,0.76,5600,0.450629532337189,3.7481880270062,"sprucefork"
"62",45,2021,2008,2,400,0.279610157012939,2.60205999132796,"sprucefork"
"63",46,2021,1986,1.72,500,0.776824831962585,2.69897000433602,"sprucefork"
"64",47,2021,1989,0.62,1000,0.416227966547012,3,"sprucefork"
"65",48,2021,2004,1.33,300,0.601910412311554,2.47712125471966,"sprucefork"
"66",50,2021,1987,NA,0,0,-Inf,"sprucefork"
"67",51,1993,1985,2.08,35200,0.175136670470238,4.54654266347813,"sprucefork"
"68",52,2021,1990,1.08,1400,0.442468255758286,3.14612803567824,"sprucefork"
"69",1,2021,2001,3.12,41400,0.377111375331879,4.6170003411209,"laurelcreek"
"70",2,2021,2004,2.03,1600,0.43080472946167,3.20411998265592,"laurelcreek"
"71",3,2021,2004,5.16,700,0.617497026920319,2.84509804001426,"laurelcreek"
"72",4,2021,2005,5,16200,0.492996215820312,4.20951501454263,"laurelcreek"
"73",5,2021,2008,3.2,129100,0.247662350535393,5.11092624226642,"laurelcreek"
"74",6,2021,1999,2.69,14700,0.514398157596588,4.16731733474818,"laurelcreek"
"75",7,2021,1999,2.26,220600,0.289758831262589,5.34360550810417,"laurelcreek"
"76",8,2021,1997,9,103200,0.428955078125,5.01367969729119,"laurelcreek"
"77",9,2021,2001,5.52,3200,0.619598388671875,3.50514997831991,"laurelcreek"
